"Category number","Share","Lower bound","Upper bound","Sector value","Distribution name","Number of categories","Row name","Source code","Section name","Row value","Category name"
"Category 6",39.218752,34.7,43.74,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Illinois","3.0 to 3.4"
"Category 7",33.125629,27.67,38.58,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Illinois","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","1.0 to 1.4"
"Category 3",2.998433,-0.72,6.72,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","1.5 to 1.9"
"Category 4",8.526679,7.44,9.62,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","2.0 to 2.4"
"Category 5",12.091239,10.49,13.7,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","2.5 to 2.9"
"Category 6",39.473834,30.73,48.21,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","3.0 to 3.4"
"Category 7",36.652588,28.67,44.64,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Indiana","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","1.0 to 1.4"
"Category 3",2.644607,1.05,4.24,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","1.5 to 1.9"
"Category 4",8.148276,5.02,11.27,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","2.0 to 2.4"
"Category 5",16.794176,13.01,20.58,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","2.5 to 2.9"
"Category 6",33.074645,24.94,41.21,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","3.0 to 3.4"
"Category 7",38.667588,32.11,45.23,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Iowa","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kansas","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","1.5 to 1.9"
"Category 4",5.955286,2.8,9.11,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","2.0 to 2.4"
"Category 5",16.912628,11.63,22.2,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","2.5 to 2.9"
"Category 6",30.03335,25.18,34.89,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","3.0 to 3.4"
"Category 7",46.760336,41.96,51.56,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Kentucky","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Louisiana","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","1.5 to 1.9"
"Category 4",6.137675,5,7.28,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","2.0 to 2.4"
"Category 5",24.925466,13.45,36.4,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","2.5 to 2.9"
"Category 6",31.709827,22.9,40.52,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","3.0 to 3.4"
"Category 7",34.5522,17.49,51.62,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maine","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","0.5 to 0.9"
"Category 2",1.525615,-0.11,3.16,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","1.5 to 1.9"
"Category 4",10.038749,-2,22.08,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","2.0 to 2.4"
"Category 5",15.724258,7.83,23.62,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","2.5 to 2.9"
"Category 6",39.307943,32.69,45.93,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","3.0 to 3.4"
"Category 7",32.355478,19.8,44.91,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Maryland","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","1.0 to 1.4"
"Category 3",0.858408,-0.3,2.02,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","1.5 to 1.9"
"Category 4",11.511223,8.37,14.65,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","2.0 to 2.4"
"Category 5",21.270128,14.09,28.45,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","2.5 to 2.9"
"Category 6",36.255498,28.08,44.44,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","3.0 to 3.4"
"Category 7",29.421345,22.18,36.66,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Massachusetts","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","1.0 to 1.4"
"Category 3",3.076539,0.14,6.02,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","1.5 to 1.9"
"Category 4",11.56912,7.72,15.42,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","2.0 to 2.4"
"Category 5",13.142914,8.66,17.62,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","2.5 to 2.9"
"Category 6",37.37181,30.19,44.55,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","3.0 to 3.4"
"Category 7",34.051841,25.62,42.48,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Michigan","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","1.0 to 1.4"
"Category 3",3.137696,1.67,4.6,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","1.5 to 1.9"
"Category 4",11.117311,7.38,14.85,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","2.0 to 2.4"
"Category 5",17.299119,13.22,21.38,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","2.5 to 2.9"
"Category 6",36.207998,31.73,40.69,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","3.0 to 3.4"
"Category 7",32.053816,28.2,35.91,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Minnesota","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","1.0 to 1.4"
"Category 3",3.674604,-0.18,7.53,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","1.5 to 1.9"
"Category 4",11.16727,4.5,17.83,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","2.0 to 2.4"
"Category 5",20.628531,13.14,28.11,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","2.5 to 2.9"
"Category 6",35.983269,29.63,42.33,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","3.0 to 3.4"
"Category 7",27.896203,23.52,32.27,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Mississippi","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Missouri","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Montana","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","0.5 to 0.9"
"Category 2",2.162392,-0.66,4.98,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","1.0 to 1.4"
"Category 3",2.505878,-0.97,5.98,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","1.5 to 1.9"
"Category 4",9.319017,3.38,15.26,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","2.0 to 2.4"
"Category 5",14.670909,6,23.34,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","2.5 to 2.9"
"Category 6",41.778861,33.19,50.37,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","3.0 to 3.4"
"Category 7",29.562943,22.25,36.88,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nebraska","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Nevada","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Hampshire","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","1.0 to 1.4"
"Category 3",2.22165,0.13,4.31,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","1.5 to 1.9"
"Category 4",12.65584,8.23,17.08,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","2.0 to 2.4"
"Category 5",16.930929,11.51,22.36,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","2.5 to 2.9"
"Category 6",37.838432,33.07,42.61,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","3.0 to 3.4"
"Category 7",30.006793,23.94,36.07,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Jersey","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","1.0 to 1.4"
"Category 3",0.337586,-0.3,0.98,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","1.5 to 1.9"
"Category 4",14.894122,-2.27,32.05,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","2.0 to 2.4"
"Category 5",22.703701,-6.57,51.97,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","2.5 to 2.9"
"Category 6",26.977969,8.04,45.92,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","3.0 to 3.4"
"Category 7",34.958711,18.48,51.43,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New Mexico","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","0.5 to 0.9"
"Category 2",0.509708,0.1,0.92,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","1.0 to 1.4"
"Category 3",2.527844,1.48,3.58,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","1.5 to 1.9"
"Category 4",12.268855,9.14,15.4,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","2.0 to 2.4"
"Category 5",15.36227,12.03,18.7,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","2.5 to 2.9"
"Category 6",40.959522,34.91,47.01,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","3.0 to 3.4"
"Category 7",28.371802,24.76,31.99,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","New York","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","0.5 to 0.9"
"Category 2",0.610478,0.15,1.07,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","1.0 to 1.4"
"Category 3",2.689312,1.35,4.03,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","1.5 to 1.9"
"Category 4",7.745831,5.73,9.76,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","2.0 to 2.4"
"Category 5",14.376304,12.42,16.33,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","2.5 to 2.9"
"Category 6",36.008326,32.88,39.14,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","3.0 to 3.4"
"Category 7",38.500288,35.89,41.11,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Carolina","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","North Dakota","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","1.0 to 1.4"
"Category 3",0.725582,0.22,1.23,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","1.5 to 1.9"
"Category 4",13.704015,11.69,15.72,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","2.0 to 2.4"
"Category 5",19.48366,13.78,25.18,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","2.5 to 2.9"
"Category 6",33.720756,29.19,38.25,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","3.0 to 3.4"
"Category 7",32.257091,26.76,37.76,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Ohio","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","1.0 to 1.4"
"Category 3",1.499302,0.52,2.48,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","1.5 to 1.9"
"Category 4",5.217496,3.69,6.75,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","2.0 to 2.4"
"Category 5",11.761208,8.27,15.25,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","2.5 to 2.9"
"Category 6",31.80936,22.34,41.28,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","3.0 to 3.4"
"Category 7",49.712634,41.63,57.8,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oklahoma","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Oregon","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","1.5 to 1.9"
"Category 4",10.792733,5.91,15.67,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","2.0 to 2.4"
"Category 5",16.460993,12.99,19.93,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","2.5 to 2.9"
"Category 6",34.620402,26.08,43.16,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","3.0 to 3.4"
"Category 7",37.343721,28.58,46.11,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Pennsylvania","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Rhode Island","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","1.5 to 1.9"
"Category 4",14.068262,9.11,19.03,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","2.0 to 2.4"
"Category 5",15.921521,7.46,24.39,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","2.5 to 2.9"
"Category 6",32.654844,18.2,47.11,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","3.0 to 3.4"
"Category 7",35.322562,20.25,50.39,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Carolina","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","0.5 to 0.9"
"Category 2",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","1.0 to 1.4"
"Category 3",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","1.5 to 1.9"
"Category 4",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","2.0 to 2.4"
"Category 5",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","2.5 to 2.9"
"Category 6",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","3.0 to 3.4"
"Category 7",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","South Dakota","3.5 to 4.0"
"Category 1",NA,NA,NA,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Tennessee","0.5 to 0.9"
"Category 2",0.118666,-0.02,0.26,"Public 2-year","High School GPA",7,"Institution State","eqfccp","B2 Percentages","Tennessee","1.0 to 1.4"
